Date,Close/Last_Apple,Volume_Apple,Open_Apple,High_Apple,Low_Apple,Daily Return_Apple,Close/Last_Microsoft,Volume_Microsoft,Open_Microsoft,High_Microsoft,Low_Microsoft,Daily Return_Microsoft,CORESTICKM159SFRBATL,Inflation Rate
2017-04-30,37.055,88058460.0,37.21,37.305,36.925,-0.0038270292449474885,67.85,25741530.0,68.09,68.465,67.63,-0.0029063417086749865,2.235672,-8.245717573687116
2017-05-31,38.19,97811000.0,38.49,38.54,38.1,-0.005986465382613271,69.84,30445790.0,70.53,70.74,69.81,-0.008095440988495906,2.139634,-4.295710640916917
2017-06-30,36.01,91947840.0,36.11,36.24,35.95,0.0025055679287304677,68.93,24094240.0,68.78,69.38,68.74,0.0064242955175939365,2.122109,-0.8190653167784778
2017-07-31,37.18,78761680.0,37.48,37.58,37.03,-0.005350454788657144,72.7,23546300.0,73.3,73.44,72.41,-0.004654983570646309,2.131777,0.4555845152157678
2017-08-31,41.0,106919760.0,40.91,41.13,40.87,0.003917727717923425,74.77,27645380.0,74.03,74.96,73.8,0.010268882583434502,2.075047,-2.6611601494903048
2017-09-30,41.629999999999995,125018920.0,41.44499999999999,41.769999999999996,41.305,0.008916637371437663,78.975,27297390.0,79.195,79.66,78.455,0.0009027092616779586,2.091354,0.7858617178309713
2017-10-31,42.26,143118080.0,41.98,42.41,41.74,0.013915547024951902,83.18,26949400.0,84.36,84.36,83.11,-0.008463464060078585,2.177581,4.123022692475797
2017-11-30,42.96,165938160.0,42.61,43.04,42.11,0.013924946896389123,84.17,32998560.0,83.51,84.52,83.34,0.00995920326373878,2.099803,-3.5717615096751865
2017-12-31,42.41,147438120.0,42.165,42.575,41.870000000000005,0.008399943500901785,89.59,40223415.0,88.63,89.96000000000001,88.42500000000001,0.01721811791394834,2.117186,0.8278395639971903
2018-01-31,41.86,128938080.0,41.72,42.11,41.63,0.0028749401054144474,95.01,47448270.0,93.75,95.4,93.51,0.024477032564157897,2.157823,1.9193873377209236
2018-02-28,44.53,150272320.0,44.82,45.15,44.51,-0.0015695067264573925,93.77,30011960.0,94.84,95.705,93.63,-0.0045647558386412435,2.123101,-1.6091217861705975
2018-03-31,42.925,159089160.0,42.675,43.485,42.485,0.008333038652542646,93.645,35604005.0,95.58500000000001,96.0507,93.39,-0.01428404771685765,2.366925,11.484333529116132
2018-04-30,41.32,167906000.0,40.53,41.82,40.46,0.018235584031542684,93.52,41196050.0,96.33,96.3964,93.15,-0.024003339595074058,2.491592,5.267044794406228
2018-05-31,46.72,109874800.0,46.81,47.06,46.54,-0.0034129692832765013,98.84,34117650.0,99.29,99.99,98.61,-0.0011116725618999235,2.543212,2.071767769361932
2018-06-30,47.144999999999996,130631920.0,47.195,47.55,46.94,-0.0007587171605936138,102.46000000000001,30649360.0,102.89,103.35499999999999,101.995,0.00281324410246081,2.551897,0.34149728768186893
2018-07-31,47.57,151389040.0,47.58,48.04,47.34,0.0018955349620892736,106.08,27181070.0,106.49,106.72,105.38,0.006738160766821544,2.518753,-1.2987985016636672
2018-08-31,56.91,172710160.0,56.63,57.22,56.5,0.011553501599715688,112.33,23217310.0,111.685,112.777,111.515,0.0033943724877176784,2.432443,-3.426695670436908
2018-09-30,55.815,162388700.0,55.425,56.165,55.33,0.018808815303889337,109.57,37129765.0,108.56,110.4585,108.4525,0.016543421662734703,2.462881,1.2513345636465
2018-10-31,54.72,152067240.0,54.22,55.11,54.16,0.026064129008062986,106.81,51042220.0,105.435,108.14,105.39,0.029692470837751728,2.415236,-1.934523024051904
2018-11-30,44.65,157697040.0,45.07,45.08,44.26,-0.005346402316774412,110.89,33652230.0,110.7,110.97,109.36,0.0063526635810873255,2.476418,2.5331686013292165
2018-12-31,39.44,137997560.0,39.63,39.84,39.12,0.00972862263184826,101.57,33161320.0,101.29,102.4,100.44,0.01175415878075503,2.456173,-0.817511421738959
2019-01-31,41.61,162453040.0,41.53,42.25,41.14,0.0072621641249090985,104.43,55442870.0,103.8,105.22,103.18,-0.01833051325437096,2.375054,-3.3026582410929595
2019-02-28,43.29,111815240.0,43.58,43.73,43.23,-0.00983531564501372,112.03,28948570.0,112.04,112.88,111.73,-0.0012481055540697339,2.375943,0.03743072789081925
2019-03-31,46.730000000000004,147409940.0,47.175,47.29,46.504999999999995,-0.01449732546669058,121.315,26495030.0,120.92500000000001,121.78999999999999,120.56235000000001,0.0025739128544670087,2.356946,-0.7995562183099381
2019-04-30,50.17,183004640.0,50.77,50.85,49.78,-0.01915933528836744,130.6,24041490.0,129.81,130.7,129.3947,0.006395931263003751,2.392773,1.520060281398039
2019-05-31,43.77,108174320.0,44.06,44.5,43.75,-0.018169582772543658,123.68,26646770.0,124.23,124.615,123.32,-0.01630478008430758,2.360903,-1.3319274331497377
2019-06-30,48.515,192649880.0,49.085,49.92,48.29,0.0010684653187089665,129.97500000000002,32622780.0,132.28,132.5525,129.2,-0.02268748088647149,2.392597,1.3424524429847429
2019-07-31,53.26,277125440.0,54.11,55.34,52.83,0.02030651340996159,136.27,38598790.0,140.33,140.49,135.08,-0.0290701816886354,2.475923,3.4826592192500394
2019-08-31,54.625,191199880.0,54.67,55.745000000000005,54.015,0.021851300938210527,137.65,28514590.0,139.19,139.85250000000002,136.43,-0.009815712350162431,2.630398,6.2390874029604415
2019-09-30,55.99,105274320.0,55.23,56.15,55.2,0.023396088466459464,139.03,18430390.0,138.05,139.215,137.78,0.009438756988310537,2.622934,-0.2837593398413496
2019-10-31,62.19,139162080.0,61.81,62.29,59.32,0.022525485037816484,143.37,24605140.0,144.9,144.93,142.99,-0.008574787359103886,2.747596,4.7527692271326805
2019-11-30,67.8,120076300.0,67.14500000000001,67.855,65.85,0.01489885667917168,150.535,21499260.0,150.835,151.35000000000002,149.72,-0.00393838676286945,2.772021,0.888958929915451
2019-12-31,73.41,100990520.0,72.48,73.42,72.38,0.0072722283205268745,157.7,18393380.0,156.77,157.77,156.45,0.0006980138333649855,2.752609,-0.7002832951121252
2020-01-31,77.38,199588400.0,80.23,80.67,77.07,-0.04433740891688287,170.23,36142690.0,172.21,172.4,169.58,-0.014758652621831292,2.790484,1.375967309559778
2020-02-29,70.475,198295200.0,72.065,73.14500000000001,70.035,-0.023189112621706753,163.97,57034940.0,165.805,168.59,163.07,-0.015243022248006,2.800101,0.34463555426227366
2020-03-31,63.57,197002000.0,63.9,65.62,63.0,-0.0020408163265306367,157.71,77927190.0,159.4,164.78,156.56,-0.015727391874180707,2.606553,-6.912179239248884
2020-04-30,73.45,183063880.0,72.49,73.63,72.09,0.021131655776449376,179.21,53875860.0,180.0,180.4,176.23,0.010032125345206477,2.179323,-16.39061242951898
